,Name,Type,Breed,Color,Sex,Size,Animal ID,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Intake Condition,Intake Jurisdiction,PredomBreed,PredomColor,DOB,IntakeDate,IntakeAge,IntakeAgeYrs
7312,PUP,DOG,RHOD RIDGEBACK/MIX,BROWN,Neutered,LARGE,A329856,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,OTHER,BROWN,2013-08-09,2018-03-07,1671 days 00:00:00.000000000,4.58
7313,,CAT,DOMESTIC SH,WHITE/BRN TABBY,Female,SMALL,A352222,0,STRAY,COMM CAT,TRANSFER,HEALTHY,SANTA ROSA,DOMESTIC SH,WHITE,,2017-05-02,,-1.0
7314,DUKE,DOG,PIT BULL/MIX,BLACK/WHITE,Neutered,PUPPY,A345635,36,STRAY,OVER THE COUNTER,ADOPTION,UNTREATABLE,COUNTY,PIT BULL,BLACK,2016-10-08,2016-11-23,46 days 00:00:00.000000000,0.13
7315,CAPONE,DOG,COCKER SPAN,BLACK,Neutered,MED,A316291,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,TREATABLE/REHAB,SANTA ROSA,COCKER SPAN,BLACK,2011-04-02,2015-01-29,1398 days 00:00:00.000000000,3.83
7316,MAX,DOG,GERM SHEPHERD,BLACK,Neutered,LARGE,A338628,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,GERM SHEPHERD,BLACK,2015-10-10,2016-07-09,273 days 00:00:00.000000000,0.75
7317,SPIKE,DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,A340608,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,PIT BULL,GRAY,2008-06-22,2016-08-06,2967 days 00:00:00.000000000,8.13
7318,COCO,DOG,LABRADOR RETR,BROWN,Neutered,MED,A323700,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,BROWN,2014-12-21,2016-04-22,488 days 00:00:00.000000000,1.34
7319,,CAT,SIAMESE/MIX,SEAL PT/WHITE,Female,SMALL,A354069,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,SIAMESE,SEAL PT,,2017-06-16,,-1.0
7320,BUCK,DOG,LABRADOR RETR,BLACK,Male,LARGE,A028778,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,BLACK,2003-05-11,2015-07-03,4436 days 00:00:00.000000000,12.15
7321,PAPITA,DOG,SCHNAUZER MIN/POODLE MIN,WHITE,Female,SMALL,A356806,1,CONFISCATE,FLD_EVICT,RETURN TO OWNER,UNKNOWN,SANTA ROSA,SCHNAUZER,WHITE,2012-08-15,2017-08-15,1826 days 00:00:00.000000000,5.0
7322,,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,A323290,14,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC LH,BLACK,,2015-06-26,,-1.0
7323,,OTHER,ENGLISH SPOT/MIX,BLACK,Unknown,SMALL,A369164,1,STRAY,BORN_HERE,TRANSFER,TREATABLE/REHAB,SANTA ROSA,ENGLISH SPOT,BLACK,2018-02-28,2018-02-28,0 days 00:00:00.000000000,0.0
7324,GIZZIE,DOG,CHIHUAHUA SH,BLACK/TAN,Neutered,TOY,A302061,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,SANTA ROSA,CHIHUAHUA,BLACK,,2014-01-28,,-1.0
7325,LOKI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,A322742,48,STRAY,COMM CAT,ADOPTION,HEALTHY,COUNTY,DOMESTIC MH,BROWN,2015-05-07,2015-06-06,30 days 00:00:00.000000000,0.08
7326,JAKE,DOG,AMER BULLDOG,WHITE/BLACK,Male,MED,A313902,0,CONFISCATE,FLD_ARREST,RETURN TO OWNER,TREATABLE/MANAGEABLE,COUNTY,BULLDOG,WHITE,2013-11-18,2015-06-25,584 days 00:00:00.000000000,1.6
7328,,DOG,CAIRN TERRIER/MIX,BLACK/WHITE,Male,SMALL,A382039,15,STRAY,FIELD,TRANSFER,HEALTHY,WINDSOR,CAIRN TERRIER,BLACK,,2018-12-19,,-1.0
7329,,CAT,DOMESTIC SH,GRAY,Spayed,SMALL,A327050,10,STRAY,COMM CAT,RETURN TO OWNER,HEALTHY,COUNTY,DOMESTIC SH,GRAY,2015-03-22,2015-09-16,178 days 00:00:00.000000000,0.49
7330,PATCHES,DOG,CHIHUAHUA SH/MIX,BLACK,Spayed,TOY,A343389,15,STRAY,VET_HOSP,ADOPTION,HEALTHY,COUNTY,CHIHUAHUA,BLACK,2016-06-11,2016-10-11,122 days 00:00:00.000000000,0.33
7331,*JAMES,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A356005,7,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,BLACK,2017-05-27,2017-07-27,61 days 00:00:00.000000000,0.17
7332,*MARCUS,DOG,PIT BULL/MIX,WHITE/BLACK,Neutered,MED,A306040,23,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,WHITE,2013-08-29,2014-04-29,243 days 00:00:00.000000000,0.67
7333,,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,A321480,17,STRAY,COMM CAT,TRANSFER,HEALTHY,SANTA ROSA,DOMESTIC SH,BLACK,,2015-05-09,,-1.0
7334,*MURPHY,DOG,PIT BULL/MIX,WHITE/TAN,Neutered,LARGE,A345647,90,STRAY,FIELD,ADOPTION,TREATABLE/MANAGEABLE,COUNTY,PIT BULL,WHITE,2006-11-23,2016-11-23,3653 days 00:00:00.000000000,10.01
7335,YUCA,DOG,LABRADOR RETR/MIX,BLACK,Spayed,LARGE,A317019,6,STRAY,OVER THE COUNTER,RETURN TO OWNER,UNKNOWN,OUT OF COUNTY,LABRADOR RETR,BLACK,2013-12-25,2018-11-28,1799 days 00:00:00.000000000,4.93
7336,LOLA,DOG,CHIHUAHUA SH,WHITE/FAWN,Female,SMALL,A352327,3,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,HEALTHY,SANTA ROSA,CHIHUAHUA,WHITE,,2017-05-07,,-1.0
7337,,CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,A321748,0,STRAY,COMM CAT,TRANSFER,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BROWN,2015-04-24,2015-05-16,22 days 00:00:00.000000000,0.06
7338,BABIES,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,A365521,4,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,DOMESTIC SH,BLACK,2005-01-25,2017-12-14,4706 days 00:00:00.000000000,12.89
7339,KIZ,DOG,AKBASH/GREAT PYRENEES,WHITE,Spayed,X-LRG,A287405,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,WHITE,2012-08-02,2014-09-23,782 days 00:00:00.000000000,2.14
7340,CHAPITO,DOG,YORKSHIRE TERR/MIX,BLACK/TAN,Male,TOY,A384621,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,YORKSHIRE TERR,BLACK,2017-11-02,2019-02-28,483 days 00:00:00.000000000,1.32
7341,,DOG,BRUSS GRIFFON/MIX,BL BRINDLE/GRAY,Female,TOY,A351361,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,BLACK,2014-04-23,2017-04-23,1096 days 00:00:00.000000000,3.0
7342,,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,KITTN,A335629,41,STRAY,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,COUNTY,DOMESTIC MH,BROWN,2016-03-22,2016-04-16,25 days 00:00:00.000000000,0.07
7343,,CAT,DOMESTIC LH,BRN TABBY,Neutered,MED,A362636,46,STRAY,OVER THE COUNTER,TRANSFER,UNKNOWN,COUNTY,DOMESTIC LH,BROWN,2003-11-20,2017-10-16,5079 days 00:00:00.000000000,13.92
7344,RAINA,DOG,PARSON RUSS TER/MIX,BLACK/WHITE,Spayed,TOY,A366641,51,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PARSON RUSS TER,BLACK,2017-05-01,2018-01-04,248 days 00:00:00.000000000,0.68
7345,MUNA,DOG,AUST SHEPHERD,TRICOLOR,Female,MED,A364136,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,UNKNOWN,SANTA ROSA,AUST SHEPHERD,TRICOLOR,2017-01-16,2017-11-16,304 days 00:00:00.000000000,0.83
7346,*FAITH,CAT,SNOWSHOE/MIX,SEAL PT,Spayed,KITTN,A346398,20,OWNER SURRENDER,FIELD,ADOPTION,TREATABLE/REHAB,COUNTY,OTHER,SEAL PT,2016-10-17,2016-12-17,61 days 00:00:00.000000000,0.17
7347,*LANCE,DOG,BORDER COLLIE,BLACK/WHITE,Neutered,MED,A334015,35,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,BORDER COLLIE,BLACK,2010-03-11,2016-03-11,2192 days 00:00:00.000000000,6.01
7348,*LILY,DOG,PARSON RUSS TER/MIX,BLACK/WHITE,Spayed,PUPPY,A385055,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,PARSON RUSS TER,BLACK,2019-01-08,2019-03-21,72 days 00:00:00.000000000,0.2
7349,AISA,DOG,BASSET HOUND,TAN,Female,MED,A286905,5,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,OTHER,TAN,2010-07-06,2015-01-03,1642 days 00:00:00.000000000,4.5
7350,*EVA,DOG,PIT BULL/MIX,BLACK/WHITE,Spayed,PUPPY,A376199,17,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,BLACK,2018-06-19,2018-09-19,92 days 00:00:00.000000000,0.25
7351,*SAWYER,OTHER,LOP-ENGLISH/MIX,BROWN,Neutered,SMALL,A326315,30,STRAY,FIELD,TRANSFER,HEALTHY,SANTA ROSA,LOP,BROWN,,2015-08-26,,-1.0
7352,PIETRO,DOG,BORDER COLLIE,BLACK/WHITE,Neutered,MED,A346444,10,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,BORDER COLLIE,BLACK,2015-06-28,2016-12-20,541 days 00:00:00.000000000,1.48
7353,LUCY,DOG,LABRADOR RETR,BLACK,Female,LARGE,A353173,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,BLACK,,2017-05-22,,-1.0
7354,MEOW MEOW,CAT,DOMESTIC SH,WHITE/BLACK,Female,SMALL,A377572,21,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,WHITE,,2018-10-13,,-1.0
7355,GATINA,CAT,DOMESTIC SH,WHITE/CALICO,Spayed,SMALL,A369123,4,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,DOMESTIC SH,WHITE,2016-02-24,2018-02-24,731 days 00:00:00.000000000,2.0
7356,KENYA,DOG,GOLDEN RETR,GOLD,Spayed,MED,A366430,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,UNKNOWN,SANTA ROSA,GOLDEN RETR,GOLD,2011-04-20,2017-12-24,2440 days 00:00:00.000000000,6.68
7357,,DOG,BULLDOG,WHITE/BLACK,Male,MED,A371017,21,STRAY,FIELD,TRANSFER,HEALTHY,COUNTY,BULLDOG,WHITE,,2018-04-20,,-1.0
7358,BAILEY,DOG,BICHON FRISE/MIX,WHITE,Neutered,SMALL,A329568,17,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,OTHER,WHITE,2013-11-07,2015-11-07,730 days 00:00:00.000000000,2.0
7359,,CAT,DOMESTIC LH,WHITE/BLACK,Spayed,SMALL,A316391,16,CONFISCATE,FLD_CORONR,TRANSFER,HEALTHY,COUNTY,DOMESTIC LH,WHITE,,2015-01-29,,-1.0
7360,,DOG,GERM SHEPHERD,BLACK,Neutered,SMALL,A372807,23,STRAY,FIELD,TRANSFER,HEALTHY,COUNTY,GERM SHEPHERD,BLACK,2017-12-31,2018-05-23,143 days 00:00:00.000000000,0.39
7361,*JACK,OTHER,RABBIT SH,BROWN,Neutered,SMALL,A306419,14,STRAY,FIELD,TRANSFER,UNKNOWN,SANTA ROSA,RABBIT,BROWN,2013-05-22,2014-05-09,352 days 00:00:00.000000000,0.96
7362,*SUNNY,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,SMALL,A313933,22,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,ORANGE,2013-11-18,2014-11-18,365 days 00:00:00.000000000,1.0
7363,MITTENS,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,A357605,14,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,WINDSOR,DOMESTIC SH,BROWN,2011-06-10,2018-04-12,2498 days 00:00:00.000000000,6.84
7364,BEA,DOG,CHIHUAHUA SH,BROWN,Spayed,TOY,A334801,69,STRAY,FIELD,ADOPTION,HEALTHY,COUNTY,CHIHUAHUA,BROWN,2007-04-01,2016-03-23,3279 days 00:00:00.000000000,8.98
7365,KRAMPAS,OTHER,GOAT,WHITE/BROWN,Female,X-LRG,A368883,4,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,GOAT,WHITE,,2018-02-16,,-1.0
7366,MILO,CAT,DOMESTIC SH,GRAY TABBY,Neutered,SMALL,A349828,17,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,GRAY,2010-03-25,2017-03-22,2554 days 00:00:00.000000000,7.0
7367,*JESSICA,OTHER,LOP-MINI,BROWN/BLACK,Spayed,SMALL,A331507,18,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,WINDSOR,LOP,BROWN,2014-01-07,2016-01-02,725 days 00:00:00.000000000,1.99
7368,INDIA,DOG,PIT BULL,GRAY/WHITE,Spayed,MED,A299832,3,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,PIT BULL,GRAY,2011-11-22,2015-01-06,1141 days 00:00:00.000000000,3.13
7369,DEDO,DOG,PIT BULL,BLACK/WHITE,Male,LARGE,A313040,4,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,WINDSOR,PIT BULL,BLACK,2012-10-24,2014-10-24,730 days 00:00:00.000000000,2.0
7370,GLORIA,CAT,PERSIAN,BRN TABBY,Spayed,SMALL,A264818,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,SANTA ROSA,OTHER,BROWN,2003-02-11,2014-03-12,4047 days 00:00:00.000000000,11.09
7371,*RICKY,OTHER,RABBIT SH,BLACK,Neutered,SMALL,A312937,44,STRAY,VET_HOSP,ADOPTION,HEALTHY,SANTA ROSA,RABBIT,BLACK,2014-04-21,2014-10-21,183 days 00:00:00.000000000,0.5
7372,DAISY,DOG,PIT BULL/MIX,BR BRINDLE/WHITE,Spayed,MED,A374392,298,STRAY,VET_HOSP,ADOPTION,TREATABLE/REHAB,SANTA ROSA,PIT BULL,BROWN,2012-07-18,2018-07-02,2175 days 00:00:00.000000000,5.96
7373,SANDY,DOG,ENG COONHOUND,TRICOLOR,Female,LARGE,A329424,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,OTHER,TRICOLOR,2008-01-06,2015-11-03,2858 days 00:00:00.000000000,7.83
7375,GORDO,DOG,PIT BULL,BLACK/WHITE,Neutered,MED,A313546,100,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,BLACK,2014-05-07,2015-01-14,252 days 00:00:00.000000000,0.69
7376,*FIEVEL,DOG,PARSON RUSS TER/MIX,BROWN,Neutered,SMALL,A382158,12,OWNER SURRENDER,FIELD,ADOPTION,TREATABLE/REHAB,COUNTY,PARSON RUSS TER,BROWN,2018-07-02,2018-12-22,173 days 00:00:00.000000000,0.47
7377,*BALTO,DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,MED,A340569,9,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,SIBERIAN HUSKY,BLACK,2013-08-05,2016-12-08,1221 days 00:00:00.000000000,3.35
7378,LILLY,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,A348043,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/MANAGEABLE,COUNTY,DOMESTIC SH,BROWN,2003-02-07,2017-02-07,5114 days 00:00:00.000000000,14.01
7379,*SONJA,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,A314493,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,GRAY,2014-10-01,2014-12-02,62 days 00:00:00.000000000,0.17
7380,DIXIE,DOG,SHIH TZU,TRICOLOR,Spayed,TOY,A303464,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,SANTA ROSA,SHIH TZU,TRICOLOR,2013-04-26,2018-10-18,2001 days 00:00:00.000000000,5.48
7381,*ARIEL,CAT,DOMESTIC LH,BLACK,Spayed,KITTN,A310353,43,STRAY,FIELD,ADOPTION,HEALTHY,COUNTY,DOMESTIC LH,BLACK,2014-04-19,2014-08-19,122 days 00:00:00.000000000,0.33
7382,*D'ARTAGNAN,CAT,MANX,BRN TABBY/WHITE,Neutered,SMALL,A370598,34,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,OTHER,BROWN,2016-04-18,2018-05-02,744 days 00:00:00.000000000,2.04
7383,SNOOPY,DOG,AMER BULLDOG,WHITE,Male,LARGE,A309160,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,BULLDOG,WHITE,2009-12-14,2014-07-17,1676 days 00:00:00.000000000,4.59
7384,*THEODORE,DOG,PIT BULL,BROWN,Male,LARGE,A375569,18,STRAY,OVER THE COUNTER,TRANSFER,UNKNOWN,SANTA ROSA,PIT BULL,BROWN,2017-08-24,2018-08-24,365 days 00:00:00.000000000,1.0
7385,*ISABELLA,DOG,PIT BULL,TAN/WHITE,Spayed,MED,A330585,20,STRAY,FIELD,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,TAN,2014-06-24,2015-12-09,533 days 00:00:00.000000000,1.46
7386,KINGSTON,DOG,GERM SHEPHERD,BLACK,Male,LARGE,A312676,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,GERM SHEPHERD,BLACK,2013-10-11,2014-12-05,420 days 00:00:00.000000000,1.15
7387,,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,A353896,4,STRAY,COMM CAT,RETURN TO OWNER,TREATABLE/MANAGEABLE,COUNTY,DOMESTIC SH,ORANGE,,2017-06-10,,-1.0
7388,MARLEY,DOG,LABRADOR RETR,YELLOW,Female,LARGE,A372601,7,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,YELLOW,2016-11-16,2018-05-16,546 days 00:00:00.000000000,1.5
7389,CHICO,DOG,GREAT PYRENEES,WHITE,Male,LARGE,A328030,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,GREAT PYRENEES,WHITE,2014-10-07,2015-10-07,365 days 00:00:00.000000000,1.0
7390,CORY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A360889,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,WINDSOR,DOMESTIC SH,BLACK,2017-04-13,2017-09-13,153 days 00:00:00.000000000,0.42
7391,SCAR,CAT,DOMESTIC LH,BLK SMOKE,Neutered,SMALL,A364914,1,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC LH,BLACK,2016-12-06,2017-12-22,381 days 00:00:00.000000000,1.04
7392,CUTIE,DOG,AKITA,BLACK/WHITE,Female,LARGE,A285247,7,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,BLACK,2009-11-30,2014-08-09,1713 days 00:00:00.000000000,4.69
7393,ROSIE,DOG,HARRIER/MIX,TRICOLOR,Spayed,MED,A320087,2,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,OTHER,TRICOLOR,2014-04-03,2015-04-13,375 days 00:00:00.000000000,1.03
7394,BOB,DOG,CHIHUAHUA SH,TRICOLOR,Male,TOY,A305255,4,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,COUNTY,CHIHUAHUA,TRICOLOR,2005-04-15,2014-04-11,3283 days 00:00:00.000000000,8.99
7395,,DOG,AMERICAN STAFF,BLACK/WHITE,Male,MED,A354130,10,STRAY,PRIV_SHELT,TRANSFER,TREATABLE/MANAGEABLE,SANTA ROSA,AMERICAN STAFF,BLACK,,2017-06-20,,-1.0
7396,DOLCE,DOG,SHIH TZU,WHITE,Male,SMALL,A277516,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,SHIH TZU,WHITE,2011-09-03,2018-05-20,2451 days 00:00:00.000000000,6.72
7397,HERSHEY,DOG,GERM SHEPHERD/MIX,BLACK/BROWN,Neutered,LARGE,A312857,0,STRAY,VET_HOSP,RETURN TO OWNER,HEALTHY,SANTA ROSA,GERM SHEPHERD,BLACK,2010-10-17,2017-03-14,2340 days 00:00:00.000000000,6.41
7398,*HELEN,DOG,CHINESE SHARPEI/MIX,BLACK,Female,LARGE,A376221,32,STRAY,OVER THE COUNTER,TRANSFER,UNKNOWN,COUNTY,OTHER,BLACK,,2018-09-20,,-1.0
7399,LUNA,DOG,PIT BULL/MIX,TAN,Spayed,LARGE,A382203,30,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,UNKNOWN,SANTA ROSA,PIT BULL,TAN,2017-09-26,2018-12-26,456 days 00:00:00.000000000,1.25
7400,MARY JANE,DOG,CHIHUAHUA SH/MIX,WHITE/TAN,Female,SMALL,A329398,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,HEALTHY,SANTA ROSA,CHIHUAHUA,WHITE,2010-11-03,2015-11-01,1824 days 00:00:00.000000000,5.0
7401,TURKS,DOG,LABRADOR RETR/MALTESE,BLACK/TAN,Neutered,MED,A344854,4,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,LABRADOR RETR,BLACK,2016-05-08,2016-11-22,198 days 00:00:00.000000000,0.54
7402,,OTHER,PIGEON,WHITE,Unknown,SMALL,A363767,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,UNKNOWN,COUNTY,OTHER,WHITE,,2017-10-29,,-1.0
7403,ABE,DOG,LABRADOR RETR,BLACK,Neutered,LARGE,A305532,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,LABRADOR RETR,BLACK,2007-01-01,2017-03-22,3733 days 00:00:00.000000000,10.23
7404,,CAT,DOMESTIC SH,WHITE/BLACK,Unknown,KITTN,A327957,0,STRAY,FIELD,TRANSFER,HEALTHY,SANTA ROSA,DOMESTIC SH,WHITE,,2015-10-04,,0.5
7405,*SOSO,CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,A341582,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,COUNTY,SIAMESE,LYNX,2016-07-01,2016-08-24,54 days 00:00:00.000000000,0.15
7406,,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A356212,5,STRAY,COMM CAT,RETURN TO OWNER,UNKNOWN,COUNTY,DOMESTIC SH,BLACK,,2017-07-27,,-1.0
7407,,CAT,SIAMESE,SEAL PT,Neutered,SMALL,A326251,5,STRAY,COMM CAT,RETURN TO OWNER,HEALTHY,SANTA ROSA,SIAMESE,SEAL PT,2015-04-26,2015-08-22,118 days 00:00:00.000000000,0.32
7408,SLIPPAH,DOG,AKBASH,WHITE,Spayed,LARGE,A331688,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,HEALTHY,COUNTY,OTHER,WHITE,2015-01-20,2016-01-09,354 days 00:00:00.000000000,0.97
7409,*TAMMY,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,A351159,20,STRAY,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,ORANGE,2016-10-15,2017-04-15,182 days 00:00:00.000000000,0.5
7410,*NALA,DOG,PIT BULL,BRN MERLE,Spayed,MED,A317883,72,STRAY,FIELD,ADOPTION,HEALTHY,SANTA ROSA,PIT BULL,BROWN,2013-03-19,2015-03-12,723 days 00:00:00.000000000,1.98
7411,*MITSY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,A363874,27,STRAY,COMM CAT,ADOPTION,TREATABLE/MANAGEABLE,COUNTY,DOMESTIC SH,BROWN,2017-08-04,2017-11-04,92 days 00:00:00.000000000,0.25
7412,CHICO,DOG,ALASKAN HUSKY/PIT BULL,BLACK/TAN,Neutered,LARGE,A336037,67,STRAY,FIELD,EUTHANIZE,TREATABLE/MANAGEABLE,COUNTY,ALASKAN HUSKY,BLACK,2014-04-23,2016-04-23,731 days 00:00:00.000000000,2.0
7413,*MARY KATE,DOG,GERM SHEPHERD/MIX,BLACK,Spayed,PUPPY,A339314,22,STRAY,VET_HOSP,ADOPTION,HEALTHY,SANTA ROSA,GERM SHEPHERD,BLACK,2015-10-20,2016-07-06,260 days 00:00:00.000000000,0.71
7415,,CAT,DOMESTIC SH,ORG TABBY,Male,KITTN,A373943,0,STRAY,OVER THE COUNTER,TRANSFER,TREATABLE/REHAB,COUNTY,DOMESTIC SH,ORANGE,,2018-06-09,,0.5
7416,PINOT,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A375456,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2018-07-03,2018-08-18,46 days 00:00:00.000000000,0.13
7417,*RENO,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A360466,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,HEALTHY,SANTA ROSA,DOMESTIC SH,ORANGE,2017-05-15,2017-08-30,107 days 00:00:00.000000000,0.29
7418,TANK,DOG,DACHSHUND,BLACK/WHITE,Male,SMALL,A316896,1,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,DACHSHUND,BLACK,2013-02-19,2015-02-19,730 days 00:00:00.000000000,2.0
7419,KIRA,DOG,SIBERIAN HUSKY,GRAY/WHITE,Female,MED,A374050,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,SANTA ROSA,SIBERIAN HUSKY,GRAY,2016-06-15,2018-06-15,730 days 00:00:00.000000000,2.0
7420,,CAT,DOMESTIC SH,ORG TABBY/WHITE,Male,SMALL,A375357,14,STRAY,OVER THE COUNTER,TRANSFER,UNKNOWN,SANTA ROSA,DOMESTIC SH,ORANGE,2017-08-14,2018-08-14,365 days 00:00:00.000000000,1.0
7421,,OTHER,GOAT,BROWN/BLACK,Unknown,LARGE,A362436,14,STRAY,FIELD,TRANSFER,UNKNOWN,COUNTY,GOAT,BROWN,,2017-10-10,,-1.0
7422,PENNY,DOG,GOLDEN RETR,GOLD,Female,LARGE,A375980,0,STRAY,FIELD,RETURN TO OWNER,UNKNOWN,COUNTY,GOLDEN RETR,GOLD,2018-05-04,2019-04-09,340 days 00:00:00.000000000,0.93
